tagid,tech discipline,skills,years of experience,comment,timestamp
495,Big Data,"['Python', 'ETL', 'cloud platform', 'SQL']",2-4 years,"I finally got the job!!! Studying big data is one of the best decisions.
",2025-03-05T23:46:55.984574
495,Big Data,"['Python', 'ETL', 'cloud platform', 'SQL']",2-4 years,"I finally got the job!!! Studying big data is one of the best decisions.
",2025-03-05T23:46:56.107571
495,Big Data,"['Python', 'ETL', 'cloud platform', 'SQL']",2-4 years,"I finally got the job!!! Studying big data is one of the best decisions.
",2025-03-05T23:46:56.311014
495,Big Data,"['Python', 'ETL', 'cloud platform', 'SQL']",2-4 years,"I finally got the job!!! Studying big data is one of the best decisions.
",2025-03-05T23:46:56.500701
495,Big Data,"['Python', 'ETL', 'cloud platform', 'SQL']",2-4 years,"I finally got the job!!! Studying big data is one of the best decisions.
",2025-03-05T23:46:56.679131
495,Big Data,"['Python', 'ETL', 'cloud platform', 'SQL']",2-4 years,"I finally got the job!!! Studying big data is one of the best decisions.
",2025-03-05T23:46:57.035998
495,Big Data,"['Python', 'ETL', 'cloud platform', 'SQL']",2-4 years,"I finally got the job!!! Studying big data is one of the best decisions.
",2025-03-05T23:46:57.206327
495,Big Data,"['Python', 'ETL', 'cloud platform', 'SQL']",2-4 years,"I finally got the job!!! Studying big data is one of the best decisions.
",2025-03-05T23:46:57.398494
495,Big Data,"['Python', 'ETL', 'cloud platform', 'SQL']",2-4 years,"I finally got the job!!! Studying big data is one of the best decisions.
",2025-03-05T23:46:57.574028
495,Big Data,"['Python', 'ETL', 'cloud platform', 'SQL']",2-4 years,"I finally got the job!!! Studying big data is one of the best decisions.
",2025-03-05T23:46:56.877334
495,Big Data,"['Python', 'ETL', 'cloud platform', 'SQL']",2-4 years,"I finally got the job!!! Studying big data is one of the best decisions.
",2025-03-05T23:46:59.124214
495,Big Data,"['Python', 'ETL', 'cloud platform', 'SQL']",2-4 years,"I finally got the job!!! Studying big data is one of the best decisions.
",2025-03-05T23:46:59.709193
495,Big Data,"['Python', 'ETL', 'cloud platform', 'SQL']",2-4 years,"I finally got the job!!! Studying big data is one of the best decisions.
",2025-03-05T23:46:59.326732
495,Big Data,"['Python', 'ETL', 'cloud platform', 'SQL']",2-4 years,"I finally got the job!!! Studying big data is one of the best decisions.
",2025-03-05T23:46:59.499022
865,Generative AI,"['Python', 'API', 'Machine learning']",0-2 years,The world is moving into AI and I cant be left out.,2025-03-05T23:42:39.544111
865,Generative AI,"['Python', 'API', 'Machine learning']",0-2 years,The world is moving into AI and I cant be left out.,2025-03-05T23:42:40.110108
865,Generative AI,"['Python', 'API', 'Machine learning']",0-2 years,The world is moving into AI and I cant be left out.,2025-03-05T23:42:40.301029
865,Generative AI,"['Python', 'API', 'Machine learning']",0-2 years,The world is moving into AI and I cant be left out.,2025-03-05T23:42:40.488781
865,Generative AI,"['Python', 'API', 'Machine learning']",0-2 years,The world is moving into AI and I cant be left out.,2025-03-05T23:42:39.927112
865,Generative AI,"['Python', 'API', 'Machine learning']",0-2 years,The world is moving into AI and I cant be left out.,2025-03-05T23:42:40.661273
865,Generative AI,"['Python', 'API', 'Machine learning']",0-2 years,The world is moving into AI and I cant be left out.,2025-03-05T23:42:39.707108
865,Generative AI,"['Python', 'API', 'Machine learning']",0-2 years,The world is moving into AI and I cant be left out.,2025-03-05T23:42:40.869067
865,Python Developer,"['Python', 'API', 'Power BI', 'Tableau']",2-4 years,I feel like a guru when using streamlit to develop a UI app.,2025-03-05T23:45:24.130283
865,Python Developer,"['Python', 'API', 'Power BI', 'Tableau']",2-4 years,I feel like a guru when using streamlit to develop a UI app.,2025-03-05T23:45:24.342195
865,Python Developer,"['Python', 'API', 'Power BI', 'Tableau']",2-4 years,I feel like a guru when using streamlit to develop a UI app.,2025-03-05T23:45:24.561319
865,Python Developer,"['Python', 'API', 'Power BI', 'Tableau']",2-4 years,I feel like a guru when using streamlit to develop a UI app.,2025-03-05T23:45:24.731997
865,Python Developer,"['Python', 'API', 'Power BI', 'Tableau']",2-4 years,I feel like a guru when using streamlit to develop a UI app.,2025-03-05T23:45:24.931913
865,Python Developer,"['Python', 'API', 'Power BI', 'Tableau']",2-4 years,I feel like a guru when using streamlit to develop a UI app.,2025-03-05T23:45:23.990083
865,Python Developer,"['Python', 'API', 'Power BI', 'Tableau']",2-4 years,I feel like a guru when using streamlit to develop a UI app.,2025-03-05T23:45:25.318607
865,Python Developer,"['Python', 'API', 'Power BI', 'Tableau']",2-4 years,I feel like a guru when using streamlit to develop a UI app.,2025-03-05T23:45:25.115755
865,Python Developer,"['Python', 'API', 'Power BI', 'Tableau']",2-4 years,I feel like a guru when using streamlit to develop a UI app.,2025-03-05T23:45:25.495922
865,Python Developer,"['Python', 'API', 'Power BI', 'Tableau']",2-4 years,I feel like a guru when using streamlit to develop a UI app.,2025-03-05T23:45:25.685352
865,Python Developer,"['Python', 'API', 'Power BI', 'Tableau']",2-4 years,I feel like a guru when using streamlit to develop a UI app.,2025-03-05T23:45:25.893634
478,Data Science,"['Python', 'ETL', 'cloud platform', 'SQL']",2-4 years,"I have 4 job offers, I'm contemplating on which to pick.
",2025-03-05T23:48:16.055979
478,Data Analyst,"['Python', 'ETL', 'cloud platform', 'SQL']",2-4 years,"I have 4 job offers, I'm contemplating on which to pick.
",2025-03-05T23:48:19.637917
1000,Data Analyst,"['Python', 'Power BI', 'SQL', 'Tableau']",4-6 years,A great way to start you data journey. Great to be an analyst.,2025-03-05T23:40:50.842621
1000,Data Analyst,"['Python', 'Power BI', 'SQL', 'Tableau']",4-6 years,A great way to start you data journey. Great to be an analyst.,2025-03-05T23:40:51.037191
